,,,,,Coppa Front Bar,,Coppa Cellar,,Coppa Corridor,,Coppa Cage,,Sub Totals,,Events Front Bar,,Events Cellar,,Events Cage,,Events Back Room,,Events Pantry,,Events Blue Cupboard,,Sub Totals,,Cafe Front Bar,,Room 1,,Sub Totals,,Lobster Front Bar,,Lobster Shed,,Sub Totals,,Totals,
Stock Type,Category,Sub Category,Pack Volume,Brand ,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles
5958307,Soft Drinks,Carbonated Drinks,24 x 200 ml [24],Coca Cola Diet Coca Cola,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
272570,Soft Drinks,Carbonated Drinks,24 x 330 ml [24],Coca Cola Diet Coke - Can,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
6657703,Soft Drinks,Carbonated Drinks,1 x 24 x 330ml [24],Coca Cola Icon Glass - Diet Coke - NRB,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
,Soft Drinks,Carbonated Drinks,1 x 24 x 330ml [24],Coke Zero Coca Cola - Can,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
6658258,Soft Drinks,Carbonated Drinks,12 x 275 ml [12],Fever Tree Cloudy Apple - Sparkling,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
2750571,Soft Drinks,Carbonated Drinks,24 x 200 ml [24],Fever Tree Cucumber Tonic Water - Light,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
,Soft Drinks,Carbonated Drinks,24 x 200 ml [24],Fever Tree Elderflower - Carbonated,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
2750575,Soft Drinks,Carbonated Drinks,24 x 200 ml [24],Fever Tree Ginger Ale - NRB,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
2681878,Soft Drinks,Carbonated Drinks,24 x 200 ml [24],Fever Tree Ginger Beer,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
2536558,Soft Drinks,Carbonated Drinks,12 x 275 ml [12],Fever Tree Ginger Beer - Sparkling,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
191582,Soft Drinks,Carbonated Drinks,24 x 200 ml [24],Fever Tree Indian Tonic Water,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
